All,"Tất Cả"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Để sử dụng liên kết PayPal Payflow, bạn phải cấu hình tài khoản PayPal Payflow liên kết trên các trang web PayPal."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Một khi bạn đăng nhập vào tài khoản PayPal nâng cao, điều hướng trình đơn cài đặt dịch vụ - tổ chức trang thanh toán - thiết lập và thiết lập tùy chọn mô tả dưới đây"
"Billing Agreement # ","Thỏa thuận Thanh toán # "
"Agreement Information","Thông tin hợp đồng"
"Reference ID:","ID tham khảo:"
Status:,"Trạng thái:"
Updated:,"Đã cập nhật:"
"Ship To","Gửi đến"
"Back to Billing Agreements","Quay lại thỏa thuận thanh toán"
"There are no billing agreements yet.","Không có thỏa thuận thanh toán nào."
"New Billing Agreement","Thỏa thuận thanh toán mới"
"You will be redirected to the payment system website.","Bạn sẽ được chuyển hướng đến trang web của hệ thống thanh toán."
Create...,Tạo...
"Your credit card will be charged for","Thẻ tín dụng của bạn sẽ bị tính phí cho"
"Your billing agreement # is: ","Thỏa thuận thanh toán của bạn # là: "
"Please select a shipping method...","Hãy lựa chọn một phương pháp vận chuyển..."
"Buy now with PayPal","Mua ngay bây giờ với PayPal"
"Edit Payment Information","Chỉnh sửa thông tin thanh toán"
"Items in Your Shopping Cart","Các sản phẩm trong giỏ hàng của bạn"
"Edit Shopping Cart","Chỉnh sửa giỏ hàng"
"Please update order data to get shipping methods and rates","Xin vui lòng Cập Nhật dữ liệu đơn hàng để có được phương pháp vận chuyển và giá"
"Checkout with PayPal","Thanh toán với PayPal"
"Please do not refresh the page until you complete payment.","Xin vui lòng không làm mới trang cho đến khi bạn hoàn thành thanh toán."
"You will be required to enter your payment details after you place an order.","Bạn sẽ được yêu cầu nhập thông tin thanh toán của bạn sau khi bạn đặt một đơn đặt hàng."
"Additional Options","Tùy chọn bổ sung"
"-- Please Select Billing Agreement--","--Vui lòng chọn thanh toán hợp đồng--"
"Acceptance Mark","Đánh dấu chấp nhận"
"What is PayPal?","PayPal là gì?"
"Sign a billing agreement to streamline further purchases  with PayPal.","Đăng ký một thỏa thuận thanh toán để hợp lí hóa những thanh toán về sau với PayPal."
"Sign a billing agreement to streamline further purchases with PayPal.","Đăng ký một thỏa thuận thanh toán để hợp lí hóa những thanh toán về sau với PayPal."
"Continue to PayPal","Tiếp tục đến PayPal"
"Save credit card information for future use.","Lưu thông tin thẻ tín dụng để sử dụng trong tương lai."
"Sorry, something went wrong.","Xin lỗi, có gì đó đã đi sai."
"PayPal Section","Phần PayPal"
"PayPal Settlement","Thanh toán PayPal"
Manage,"Quản lý"
"Place Order Using Billing Agreements","Đặt hàng bằng cách sử dụng thỏa thuận thanh toán"
"Merchant Location","Vị trí Thương gia"
"Merchant Country","Thương mại quốc gia"
"PayPal Express Checkout","Thanh toán PayPal Express"
"Add another payment method to your existing solution or as a stand-alone option.","Thêm phương thức thanh toán khác với giải pháp hiện tại của bạn hoặc như là một lựa chọn riêng lẻ."
"Choose a secure bundled payment solution for your business.","Lựa chọn một giải pháp thanh toán an toàn đóng gói cho các doanh nghiệp của bạn."
"Payments Pro and Express Checkout","Thanh toán Pro và thanh toán Express"
"Basic Settings - PayPal Payments Pro","Cài đặt cơ bản - thanh toán PayPal Pro"
"Accept payments with a completely customizable checkout page.","Chấp nhận thanh toán với một thanh toán có thể tùy chỉnh hoàn toàn."
"Process payments using your own internet merchant account.","Quy trình thanh toán bằng cách sử dụng tài khoản thương gia trên mạng của riêng bạn."
"Add PayPal as an additional payment method to your checkout page.","Thêm PayPal như là một phương thức thanh toán bổ sung vào trang web thanh toán của bạn."
"Required PayPal Settings","PayPal yêu cầu cài đặt"
"Email Associated with PayPal Merchant Account (Optional)","Email liên kết với tài khoản PayPal thương gia (tùy chọn)"
"Don't have a PayPal account? Simply enter your email address.","Không có một tài khoản PayPal? Chỉ cần nhập địa chỉ email của bạn."
"API Authentication Methods","Phương pháp xác thực API"
"API Username","Tên người dùng API"
"API Password","API mật khẩu"
"Get Credentials from PayPal","Nhận được thông tin từ PayPal"
"API Uses Proxy","API sử dụng Proxy"
"Proxy Host","Máy chủ proxy"
"Proxy Port","Cổng proxy"
"Enable In-Context Checkout Experience","Cho phép thanh toán trong bối cảnh kiểm nghiệm"
"Enable PayPal Credit","Cho phép tín dụng PayPal"
"Sort Order PayPal Credit","Sắp xếp thứ tự tín dụng PayPal"
"Advertise PayPal Credit","Quảng cáo tín dụng PayPal"
"Publisher ID","Nhà xuất bản ID"
"Required to display a banner","Yêu cầu để hiển thị một biểu ngữ"
"Get Publisher ID from PayPal","Có được nhà xuất bản ID từ PayPal"
"Home Page","Trang chủ"
Display,"Hiển thị"
"Catalog Category Page","Trang Danh mục nhóm"
"Catalog Product Page","Trang Danh mục sản phẩm"
"Checkout Cart Page","Trang thanh toán giỏ hàng"
"Basic Settings - PayPal Express Checkout","Cài đặt cơ bản - PayPal nhận thanh toán"
"Display on Product Details Page","Hiển thị trên trang chi tiết sản phẩm"
"Authorization Honor Period (days)","Khoảng thời gian để vinh danh ủy quyền (ngày)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Xác định khoảng thời gian ủy quyền danh dự là trên các thương gia tài khoản PayPal. Nó phải được thiết lập trong PayPal."
"Order Valid Period (days)","Đặt thời gian hợp lệ (ngày)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Xác định khoảng thời gian hợp lệ cho các tài khoản thương gia PayPal. Nó phải được thiết lập trong PayPal."
"Number of Child Authorizations","Số lượng ủy quyền con"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Số lượng ủy quyền con trong tài khoản PayPal của bạn mặc định là 1. Để có nhiều ủy quyền xin vui lòng liên hệ với PayPal để yêu cầu tăng."
"Payment Applicable From","Áp dụng thanh toán từ"
"Countries Payment Applicable From","áp dụng Thanh toán quốc gia từ"
"Debug Mode","Chế độ sửa lỗi"
"Enable SSL verification","Cho phép xác minh SSL"
"Transfer Cart Line Items","Chuyển sang hàng Giỏ hàng"
"Transfer Shipping Options","Tùy chọn vận chuyển"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Nếu tùy chọn này được kích hoạt, khách hàng có thể thay đổi địa chỉ vận chuyển và các phương pháp vận chuyển trên trang web PayPal. Trong chế độ trực tiếp làm việc chỉ thông qua giao thức HTTPS."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Chú ý rằng PayPal có thể xử lý lên đến 10 vận chuyển tùy chọn. Đó là lý do tại sao Magento sẽ chuyển tùy chọn vận chuyển với giá rẻ nhất chỉ có 10 lần đầu tiên nếu có nhiều hơn 10."
"Shortcut Buttons Flavor","Nút tắt yêu thích"
"Enable PayPal Guest Checkout","Cho phép thanh toán PayPal như khách"
"Ability for buyer to purchase without PayPal account.","Khả năng cho người mua để mua mà không cần tài khoản PayPal."
"Billing Agreement Signup","Đăng ký thỏa thuận thanh toán"
"Whether to create a billing agreement, if there are no active billing agreements available.","Dùng để để tạo ra một thỏa thuận thanh toán, nếu không có không có thỏa thuận thanh toán hoạt động có sẵn."
"Skip Order Review Step","Bỏ qua bước xem lại đơn hàng"
"PayPal Billing Agreement Settings","Thiết lập thỏa thuận thanh toán PayPal"
"Allow in Billing Agreement Wizard","Cho phép trong thuật sĩ thỏa thuận thanh toán"
"Settlement Report Settings","Cài đặt báo cáo quyết toán"
"SFTP Credentials","SFTP thông tin đăng nhập"
"Custom Endpoint Hostname or IP-Address","Tùy chỉnh điểm kết thúc máy chủ hoặc địa chỉ IP"
"By default it is ""reports.paypal.com"".","Theo mặc định nó là ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".","Sử dụng colon để chỉ rõ cổng. Ví dụ: ""test.example.com:5224""."
"Custom Path","Tùy chỉnh đường dẫn"
"Scheduled Fetching","Dự kiến sẽ tìm nạp"
"Enable Automatic Fetching","Sử tìm nạp tự động"
"PayPal retains reports for 45 days.","PayPal vẫn giữ báo cáo cho 45 ngày."
"Time of Day","Thời gian trong ngày"
"Frontend Experience Settings","Trải nghiệm giao diện cài đặt"
"PayPal Product Logo","Biểu tượng sản phẩm PayPal"
"Displays on catalog pages and homepage.","Hiển thị trên các trang danh mục và trang chủ."
"PayPal Merchant Pages Style","Trang loại doanh nghiệp Paypal"
"Page Style","Trang loại"
"Header Image URL","URL hình ảnh tiêu đề"
"Header Background Color","Màu nền Tiêu đề"
"Header Border Color","Màu sắc biên giới Tiêu đề"
"2-pixel perimeter around the header space.","2-pixel các vành đai xung quanh khoảng trống tiêu đề."
"Page Background Color","Màu nền Trang"
"Payments Advanced and Express Checkout","Thanh toán nâng cao và thanh toán Express"
Partner,"Đối tác"
Vendor,"Nhà cung cấp"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal khuyến cáo rằng bạn thiết lập một người dùng bổ sung vào tài khoản của bạn tại manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal đề nghị bạn thiết lập một người dùng bổ sung vào tài khoản của bạn tại manager.paypal.com, thay vì nhập admin tên đăng nhập và mật khẩu ở đây của bạn. Điều này sẽ tăng cường an ninh và ngăn chặn gián đoạn dịch vụ nếu sau đó bạn thay đổi mật khẩu. Nếu bạn không muốn để thiết lập một người dùng bổ sung, bạn có thể nhập lại thông tin đăng nhập thương gia ở đây."
"Use Proxy","Sử dụng Proxy"
"Basic Settings - PayPal Payments Advanced","Cài đặt cơ bản - nâng cao thanh toán PayPal"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Nó được khuyến khích để đặt giá trị này để ""ghi nợ hoặc thẻ tín dụng"" cho một cửa hàng."
"CVV Entry is Editable","CVV nhập là có thể chỉnh sửa"
"Require CVV Entry","Yêu cầu nhập cảnh CVV"
"Send Email Confirmation","Gửi Email xác nhận"
"URL method for Cancel URL and Return URL","Phương pháp hủy URL và hoàn tác URL"
"Payflow Link and Express Checkout","Payflow liên kết và thanh toán Express"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Nếu bạn không có nhiều người dùng đã được thiết lập trên tài khoản của bạn, xin vui lòng nhập lại thông tin đăng nhập nhà cung cấp/thương gia ở đây."
"Enable Payflow Link","Cho phép liên kết Payflow"
"Enable Express Checkout","Cho phép thanh toán Express"
"Basic Settings - PayPal Payflow Link","Cài đặt cơ bản - liên kết PayPal Payflow"
"Website Payments Pro Hosted Solution","Trang web thanh toán giải pháp lưu trữ chuyên nghiệp"
"Payments Pro Hosted Solution","Giải pháp máy chủ Thanh toán chuyên nghiệp"
"Basic Settings - PayPal Payments Pro Hosted Solution","Cài đặt cơ bản - các khoản thanh toán PayPal Pro giải pháp lưu trữ"
"Display Express Checkout in the Payment Information step","Hiển thị thanh toán Express trong bước thông tin thanh toán"
"Website Payments Pro Hosted Solution and Express Checkout","Trang web thanh toán giải pháp lưu trữ Pro và thanh toán Express"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Cài đặt cơ bản - trang web PayPal thanh toán giải pháp lưu trữ chuyên nghiệp"
"Basic Settings - PayPal Payflow Pro","Cài đặt cơ bản - PayPal Payflow Pro"
"Credit Card Settings","Cài đặt thẻ tín dụng"
"CVV and AVS Settings","CVV và cài đặt AVS"
"Reject Transaction if:","Từ chối giao dịch nếu:"
"AVS Street Does Not Match","AVS Street không phù hợp"
"AVS Zip Does Not Match","AVS Zip không phù hợp"
"Card Security Code Does Not Match","Mã bảo vệ thẻ không khớp"
"Payflow Pro and Express Checkout","Payflow Pro và thanh toán Express"
"Your shopping cart has been updated with new prices.","Giỏ hàng của bạn đã được Cập Nhật với giá mới."
"We cannot load the configuration from file %1.","Chúng tôi không thể tải cấu hình từ tệp %1."
"Method ""%1"" is not defined in ""%2""","Phương pháp ""%1"" không được xác định trong ""%2"""
"Remember Me","Ghi nhớ tôi"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Kiểm tra &quot; ""Ghi Nhớ tôi""&quot; để truy cập vào giỏ hàng của bạn trên máy tính này ngay cả khi bạn không đăng nhập."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Kiểm tra 'ghi nhớ tôi' để truy cập vào giỏ hàng của bạn trên máy tính này ngay cả khi bạn không đăng nhập."
"Welcome, %1!","Chào mừng, %1!"
"Not you?","Không phải bạn?"
"Persistent Shopping Cart","Giữ nguyên giỏ hàng"
"Enable Persistence","Cho phép giữ nguyên"
"Persistence Lifetime (seconds)","Giữ suốt đời (giây)"
"Enable ""Remember Me""","Cho phép ""Ghi nhớ tôi"""
"""Remember Me"" Default Value","Giá trị mặc định ""Ghi nhớ tôi"""
"Clear Persistence on Sign Out","Giữ nguyên đăng xuất"
"Persist Shopping Cart","Giữ nguyên giỏ mua hàng"
"Persist Wish List","Giữ nguyên danh sách yêu thích"
"Persist Recently Ordered Items","Giữ nguyên sản phẩm đặt hàng gần đây"
"Persist Currently Compared Products","Giữ nguyên sản phẩm so sánh gần đây"
"Persist Comparison History","Giữ nguyên lịch sử so sánh"
"Persist Recently Viewed Products","Giữ nguyên sản phẩm xem gần đây"
"Persist Customer Group Membership and Segmentation","Giữ nguyên phân khúc vào nhóm khách hàng thành viên"
"Read Product Price","Đọc giá sản phẩm"
"Edit Product Price","Chỉnh sửa giá sản phẩm"
"Edit Product Status","Chỉnh sửa tình trạng sản phẩm"
"Default Product Price","Giá sản phẩm mặc định"
"You saved the alert subscription.","Bạn đã lưu các thuê bao thông báo."
"There are not enough parameters.","Không có đủ thông số."
"Alert subscription has been saved.","Thông báo đăng ký đã được lưu."
"You deleted the alert subscription.","Bạn đã xoá đăng ký thông báo."
"You will no longer receive price alerts for this product.","Bạn sẽ không còn nhận được thông báo giá cho sản phẩm này."
"Unable to update the alert subscription.","Không thể Cập Nhật việc đăng ký thông báo."
"You will no longer receive stock alerts for this product.","Bạn sẽ không còn nhận được thông báo số lượng trong kho của sản phẩm này."
"The product was not found.","Sản phẩm không được tìm thấy."
"You will no longer receive stock alerts.","Bạn sẽ không còn nhận được cảnh báo trữ kho."
"Invalid block type: %1","Loại khối không hợp lệ: %1"
"Price change alert! We wanted you to know that prices have changed for these products:","Báo giá thay đổi! Chúng tôi muốn bạn biết rằng giá cả đã thay đổi đối với các sản phẩm này:"
Price:,Giá:
"Click here to stop alerts for this product.","Nhấn vào đây để ngăn chặn thông báo đối với sản phẩm này."
"Unsubscribe from all price alerts","Hủy đăng ký tất cả các cảnh báo giá"
"In stock alert! We wanted you to know that these products are now available:","Thông báo còn trong kho! Chúng tôi muốn bạn biết rằng các sản phẩm này đang có sẵn:"
"Unsubscribe from all stock alerts","Hủy đăng ký tất các thông báo lưu kho"
"Product alerts Cron error","Sản phẩm cảnh báo định kỳ lỗi"
"Product alerts cron warnings","Cảnh báo thông báo Sản phẩm định kỳ"
"Products price changed alert","Báo giá thay đổi sản phẩm"
"Products back in stock alert","Cảnh báo Sản phẩm có thêm hàng"
"Allow Alert When Product Price Changes","Cho phép cảnh báo khi giá sản phẩm thay đổi"
"Allow Alert When Product Comes Back in Stock","Cho phép cảnh báo khi sản phẩm có hàng trở lại"
"Price Alert Email Template","Mẫu Email cảnh báo giá"
"Stock Alert Email Template","Mẫu email cảnh báo số lượng trong kho"
"Alert Email Sender","Cảnh báo người gửi Email"
"Product Alerts Run Settings","Chạy cài đặt Sản phẩm cảnh báo"
"Notify me when the price drops","Thông báo cho tôi khi giá giảm xuống"
"Notify me when this product is in stock","Thông báo cho tôi khi sản phẩm này có hàng"
Url,"Đường dẫn"
"Preview Image","Xem trước hình ảnh"
"Get Video Information","Nhận thông tin về Video"
"YouTube and Vimeo supported.","Hỗ trợ YouTube và Vimeo."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Hỗ trợ Vimeo. <br /> để thêm video trên YouTube, vui lòng <a href=""%1""> nhập Youtube API Key </a> đầu tiên."
"Add Video","Thêm Video"
"Delete video","Xóa video"
Title:,"Tiêu đề:"
Uploaded:,"Đã tải lên:"
Uploader:,"Tải lên:"
Duration:,"Thời lượng:"
"Video Error","Lỗi video"
"Unknown video type","Loại video Không biết"
"Invalid video url","Video url không hợp lệ"
"Youtube API key is invalid","YouTube API key không hợp lệ"
"Video cant be shown due to the following reason: ","Video không thể hiển thị do lý do sau: "
"Video not found","Không tìm thấy Video"
"New Video","Video mới"
"Edit Video","Chỉnh sửa Video"
"Images and Videos","Hình ảnh và video"
"Product Video","Sản phẩm Video"
"YouTube API Key","YouTube API key"
"Autostart base video","Tự khởi động cơ sở video"
"Show related video","Hiển thị video liên quan"
"Auto restart video","Tự động khởi động lại video"
"Images And Videos","Hình ảnh và video"
"Edit Catalog Price Rules","Chỉnh sửa danh mục giá quy định"
"Edit Cart Price Rules","Chỉnh sửa Cart Price Rules"
"Edit Automated Email Reminder Rules","Chỉnh sửa quy tắc tự động gửi email nhắc nhở"
"Product that you are trying to add is not available.","Sản phẩm bạn vừa thêm không có sẵn."
"This is the wrong quote item id to update configuration.","Đây là trích dẫn sai mã id sản phẩm để cập nhật cấu hình."
"This shipping method is not available. To use this shipping method, please contact us.","Phương pháp vận chuyển này không có sẵn. Để sử dụng phương pháp vận chuyển này, xin vui lòng liên hệ với chúng tôi."
"The address model is not defined.","Các mô hình địa chỉ không xác định."
"The address total model should be extended from
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","Địa chỉ tất cả các mô hình nên được mở rộng từ \Magento\Quote\Model\Quote\Address\Total\AbstractTotal."
"Shipping & Handling (%1)","Vận chuyển & xử lý (%1)"
"We found an invalid item option format.","Chúng tôi tìm thấy một tùy chọn định dạng sản phẩm không hợp lệ."
"Item qty declaration error","Khai báo số lượng sản phẩm lỗi"
"Some of the products below do not have all the required options.","Một số sản phẩm dưới đây không có tất cả các tùy chọn yêu cầu."
"Something went wrong during the item options declaration.","Một cái gì đó đi sai trong tuyên ngôn lựa chọn sản phẩm."
"We found an item options declaration error.","Chúng tôi tìm thấy lỗi tuyên bố lựa chọn sản phẩm."
"Some of the selected options are not currently available.","Một số tùy chọn đã chọn hiện nay không có sẵn."
"Selected option(s) or their combination is not currently available.","Tùy chọn được chọn hoặc sự kết hợp đó không có sẵn."
"Some item options or their combination are not currently available.","Một số tùy chọn mục hoặc sự kết hợp của họ không có sẵn bây giờ."
"The qty value is required to update quote item.","Số lượng giá trị là bắt buộc để cập nhật sản phẩm báo giá."
"Minimum order amount is %1","Số lượng đặt hàng tối thiểu là %1"
"Invalid customer id %1","Id Khách hàng không hợp lệ %1"
"Invalid customer address id %1","địa chỉ id kKhách hàng không hợp lệ %1"
"Invalid address id %1","Địa chỉ id không hợp lệ %1"
"Only 1 shipping assignment can be set","Chuyển nhượng chỉ có 1 vận chuyển có thể được thiết lập"
"This item price or quantity is not valid for checkout.","Giá hoặc số lượng sản phẩm này là không hợp lệ để thanh toán."
Carts,"Giỏ hàng"
"Manage carts","Quản lý giỏ hàng"
"This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.","Quy tắc này được gán cho %1 nhắc nhở tự động rule(s). Xoá quy tắc này tự động sẽ không được gán."
"Automated Email Marketing Reminder Rules","Quy tắc nhắc nhở gửi email tiếp thị tự động"
"Are you sure you want to match this rule now?","Bạn có chắc bạn muốn để phù hợp với quy tắc này bây giờ?"
"No more than %1 customers may receive the reminder email after this action.","Không có nhiều hơn %1 khách có thể nhận được email nhắc nhở sau hành động này."
"Run Now","Chạy ngay bây giờ"
"Edit Rule '%1'","Sửa quy tắc '%1'"
"Email Reminder Rule","Quy tắc Email nhắc nhở"
"You need to set at least one condition for this rule to work.","Bạn cần phải thiết lập ít nhất một điều kiện cho quy tắc này để làm việc."
"Matched At","Phù hợp tại"
"Thread Active","Chủ đề đang hoạt động"
"Coupon Use Limit","Giới hạn sử dụng phiếu mua hàng"
"Coupon Use Per Customer","Số lần Sử dụng phiếu giảm giá cho mỗi khách hàng"
"Emails Sent","Email Đã Gửi"
"Emails Failed","Email đã thất bại"
"Last Sent","Lần Gửi cuối"
"Reminder emails may promote a cart price rule with or without a coupon. If a cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Email nhắc nhở có thể thúc đẩy quy tắc cart price với hoặc không với một phiếu giảm giá. Nếu quy tắc cart price xác định một phiếu mua hàng được tạo ra tự động, quy tắc nhắc nhở này sẽ tạo ra một mã số phiếu giảm giá ngẫu nhiên cho mỗi khách hàng."
"Cart Price Rule","Cart Price Rules"
"Promotion rule this reminder will advertise.","Chương trình khuyến mại quy tắc này nhắc nhở sẽ quảng cáo."
"Repeat Schedule","Lặp lại lịch trình"
"Enter the number of days until the email reminder rule is retriggered if conditions still match (Ex: Enter ""7, 14"" to trigger emails in 7 days, and then 14 days after that).","Nhập vào số lượng ngày cho đến khi các quy tắc email nhắc nhở hoạt động nếu điều kiện vẫn còn phù hợp (ví dụ: nhập ""7, 14"" để kích hoạt email trong 7 ngày, và sau đó 14 ngày sau đó)."
"Select Rule...","Chọn quy tắc..."
"Only customers who have an account for a store view will receive emails related to that store view.","Chỉ những khách hàng có tài khoản để xem cửa hàng sẽ nhận được email có liên quan đến giao diện cửa hàng đó."
"Default Titles and Description","Mặc định tiêu đề và mô tả"
"You can find and edit rule label and descriptions, per store view, in email templates.","Bạn có thể tìm và chỉnh sửa các quy tắc nhãn và mô tả, một cửa hàng xem, trong các mẫu thư điện tử."
"Rule Title for All Store Views","Tiêu đề quy tắc cho tất cả các lượt xem cửa hàng"
"Rule Description for All Store Views","Mô tả quy tắc cho tất cả các lượt xem cửa hàng"
"Titles and Descriptions Per Store View","Tiêu đề và mô tả cho mỗi lần xem cửa hàng"
"Overrides default titles and descriptions. Note that if an email template is not specified for this store view, the respective variable values will be deleted.","Ghi đè mặc định tiêu đề và mô tả. Lưu ý rằng nếu một email mẫu không được chỉ định để xem cửa hàng này, các giá trị tương ứng biến sẽ bị xóa."
"Emails and Labels","Email và nhãn"
"Matched Customers","Phù hợp khách"
"Please correct the reminder rule you requested.","Hãy sửa quy tắc nhắc nhở mà bạn yêu cầu."
"You deleted the reminder rule.","Bạn đã xoá các quy tắc nhắc nhở."
"We can't delete the reminder rule right now.","Chúng tôi không thể xoá các quy tắc nhắc nhở ngay bây giờ."
"Reminder Rules","Quy tắc Nhắc nhở"
"Email Reminders","Email nhắc nhở"
"New Reminder Rule","Quy tắc nhắc nhở mới"
"You matched the reminder rule.","Bạn phù hợp với các quy tắc nhắc nhở."
"Reminder rule matching error.","Quy tắc Nhắc nhở phù hợp bị lỗi."
"You saved the reminder rule.","Bạn lưu quy tắc nhắc nhở."
"We could not save the reminder rule.","Chúng tôi không thể lưu các quy tắc nhắc nhở."
"Minute Intervals","Phút khoảng thời gian"
Hourly,"Hàng giờ"
"5 minutes","5 phút"
"10 minutes","10 phút"
"15 minutes","15 phút"
"20 minutes","20 phút"
"30 minutes","3 phút"
for,cho
"for greater than","cho lớn hơn"
"for or greater than","cho hoặc lớn hơn"
"Shopping cart is not empty and abandoned %1 %2 days and %3 of these conditions match:","Giỏ mua hàng không phải là trống rỗng, và bị bỏ rơi %1 %2 ngày và %3 trong những điều kiện phù hợp với:"
"The root shopping cart condition should have a days value of 0 or greater.","Điều kiện giỏ hàng mua sắm gốc nên có giá trị ngày 0 hoặc lớn hơn."
"Total Amount","Tổng số tiền"
subtotal,"tổng phụ"
"grand total",tổng
"Shopping cart %1 amount %2 %3:","Giỏ hàng mua sắm %1 tổng số %2 %3:"
"Numeric Attribute","Số thuộc tính"
weight,"trọng lượng"
"row weight","hàng trọng lượng"
quantity,"số lượng"
"base price","giá cơ sở"
"base cost","chi phí cơ sở"
"Item %1 %2 %3:","Sản phẩm %1 %2 %3:"
"Items Subselection","Sản phẩm cận chọn"
"Coupon Code","Mã Phiếu giảm giá"
"Shopping cart %1 a coupon applied","Giỏ hàng %1 được áp dụng một phiếu giảm giá"
"Cart Line Items","Giỏ hàng"
"Number of shopping cart line items %1 %2:","Số lượng dòng sản phẩm trong giỏ hàng %1 %2:"
"Item SKU %1 %2 ","Mục mã sản phẩm %1 %2 "
"The item was added to shopping cart %1, store view %2.","Các mục đã được thêm vào mua sắm giỏ hàng %1, Cửa hàng xem %2."
"not from","không phải từ"
"If an item is %1 in the shopping cart and %2 of these conditions match:","Nếu một sản phẩm là %1 trong giỏ mua hàng với %2 phù hợp với điều kiện:"
"Items Quantity","Số lượng sản phẩm"
"Total shopping cart items quantity %1 %2:","Tổng số lượng số sản phẩm trong giỏ hàng %1 %2:"
"Virtual Only","Chỉ có ảo"
"Shopping cart %1 only virtual items","Mua sắm giỏ hàng %1 chỉ cho sản phẩm ảo"
"The wish list is not empty and abandoned %1 %2 days and %3 of these conditions match:","Danh sách yêu thích không trống, và bị bỏ rơi %1 %2 ngày và %3 để phù hợp với điều kiện:"
"The root wish list condition should have a days value of 1 or greater.","Điều kiện muốn danh sách gốc nên có giá trị 1 ngày hoặc cao hơn."
"Number of Items","Số lượng sản phẩm"
"Number of wish list items %1 %2 ","Số lượng sản phẩm của danh sách yêu thích %1 %2 "
Sharing,"Đang chia sẻ"
"Wish List %1 shared","%1 danh sách yêu thích chia sẻ"
is,là
"is not","không phải là"
"The item was added to wish list %1, store view %2.","Các mục đã được thêm vào danh sách yêu thích %1, xem Cửa hàng %2."
"If an item is %1 in the wish list and %2 of these conditions match:","Nếu một sản phẩm là %1 trong danh sách yêu thích với %2 phù hợp với điều kiện:"
"Condition type is unexpected","Loại Điều kiện là bất ngờ"
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts","<b>Chú ý</b>: nếu bạn chọn ""Sử dụng thế hệ tự động"", quy tắc này sẽ không còn được sử dụng trong bất kỳ email tự động nhắc nhở quy tắc cho các xe hàng bị bỏ rơi"
"Validate error 1","Xác nhận lỗi 1"
"Validate error 2","Xác nhận lỗi 2"
text,"văn bản"
"Promotion reminder at %store_name","Khuyến mãi lời nhắc tại %store_name"
"Promo Section","Mục quảng cáo"
"Automated Email Reminder Rules","Email tự động nhắc nhở nội quy"
"Enable Reminder Emails","Cho phép lời nhắc email"
Interval,"Khoảng thời gian"
"Set this value equal or greater to your Magento cron job launch period.","Đặt giá trị này bằng hoặc lớn hơn thời gian khởi động công việc cho Magento cron."
"Minute of the Hour","Phút của giờ"
"Valid range: 0-59 (default 0).","Phạm vi hợp lệ: 0-59 (mặc định 0)."
"Maximum Emails per One Run","Email tối đa mỗi lần chạy"
"Email Send Failure Threshold","Ngưỡng Email gửi thất bại"
"Make sure to enter a limit value, or reminder emails will be re-issued to customers in a loop.","Hãy chắc chắn để nhập một giá trị giới hạn, hoặc nhắc nhở email sẽ được tái phát hành cho khách hàng trong một vòng lặp."
"Reminder Email Sender","Người gửi Email nhắc nhở"
"New Accounts","Tài khoản mới"
"Customers by number of orders","Khách hàng bằng số lượng đơn đặt hàng"
"Customers by Orders Total","Khách hàng theo tổng cộng đơn đặt hàng"
"Date Used","Ngày sử dụng"
Period,"Thời gian"
"Empty Rows","Hàng trống"
"Invalid date specified","Ngày không hợp lệ được chỉ định"
"We can't find records for this period.","Chúng tôi không thể tìm thấy mẫu tin nào trong giai đoạn này."
"Show Reviews","Hiển thị giá"
"Products Report","Báo cáo sản phẩm"
Purchases,"Mua hàng"
"Low stock","Còn ít hàng"
"Products Ordered","Sản phẩm đặt hàng"
